n,seed,T,variant,theta,cap,mc_draws,C_far_hat,C_J2_hat,mean_dH,mean_acc,frac_id
10,1,1.0,cap=2,0.0,2,10000,0.0,0.1497,1.8783329329810232,0.2086629864714472,0.1674
10,1,1.0,cap=3,0.0,3,10000,0.1646,0.2758,2.676315157338458,0.378740247140913,0.1674
10,1,1.0,cap=5,0.0,5,10000,0.1619,0.2731,3.9274561614220516,0.499907016875245,0.1674
10,1,0.3,faithful,0.0,,10000,0.4831,0.4998,6.8084,1.0,0.5
10,1,0.3,theta=0.5,0.5,,10000,0.4831,0.4998,6.8084,1.0,0.5
10,1,0.3,theta=1.0,1.0,,10000,0.0162,0.0317,2.8446,0.05540115014812616,0.5
10,1,0.3,theta=1.5,1.5,,10000,0.0162,0.0661,1.133,0.05540115198209217,0.5
10,1,0.3,theta=2.0,2.0,,10000,0.0162,0.0661,1.1326,0.05540115198209217,0.5
10,1,0.3,cap=2,0.0,2,10000,0.0,0.017,1.9768,0.03360000000009121,0.5
10,1,0.3,cap=3,0.0,3,10000,0.025,0.0417,2.9432,0.06880554350634654,0.5
10,1,0.3,cap=5,0.0,5,10000,0.0199,0.0366,4.8116,0.07340000000097292,0.5
10,1,0.1,faithful,0.0,,10000,0.275,0.275,7.0,1.0,0.725
10,1,0.1,theta=0.5,0.5,,10000,0.275,0.275,7.0,1.0,0.725
10,1,0.1,theta=1.0,1.0,,10000,0.0,0.0,2.688727272727273,5.76773448197749e-35,0.725
10,1,0.1,theta=1.5,1.5,,10000,0.0,0.0193,1.0,1.3501203271224508e-31,0.725
10,1,0.1,theta=2.0,2.0,,10000,0.0,0.0193,1.0,1.3501203271224508e-31,0.725
10,1,0.1,cap=2,0.0,2,10000,0.0,0.0,2.0,8.487944980198465e-53,0.725
10,1,0.1,cap=3,0.0,3,10000,0.0,0.0,3.0,1.2279380577884617e-71,0.725
10,1,0.1,cap=5,0.0,5,10000,0.0,0.0,5.0,4.2413456412069023e-60,0.725
10,2,1.0,faithful,0.0,,10000,0.0314,0.4156,1.754730302174527,1.0,0.2918
10,2,1.0,theta=0.5,0.5,,10000,0.0278,0.431,1.699519909630048,0.9727465113723075,0.2918
10,2,1.0,theta=1.0,1.0,,10000,0.0076,0.4874,1.3428410053657158,0.753344596430838,0.2918
10,2,1.0,theta=1.5,1.5,,10000,0.0003,0.5161,1.1263767297373624,0.652131011031385,0.2918
10,2,1.0,theta=2.0,2.0,,10000,0.0,0.495,1.0043772945495624,0.5909201286711488,0.2918
10,2,1.0,cap=2,0.0,2,10000,0.0,0.4237,1.4582038972041795,0.8170352144460473,0.2918
10,2,1.0,cap=3,0.0,3,10000,0.0253,0.4095,1.6557469641344253,0.9327170844840137,0.2918
10,2,1.0,cap=5,0.0,5,10000,0.0308,0.415,1.7496469923750353,0.9965920426035221,0.2918
10,2,0.3,faithful,0.0,,10000,0.0,0.2414,1.0061932287365813,1.0,0.7578
10,2,0.3,theta=0.5,0.5,,10000,0.0,0.2414,1.0061932287365813,1.0,0.7578
10,2,0.3,theta=1.0,1.0,,10000,0.0,0.2415,1.004128819157721,0.9983488674784595,0.7578
10,2,0.3,theta=1.5,1.5,,10000,0.0,0.2417,1.0016515276630884,0.9966973331248019,0.7578
10,2,0.3,theta=2.0,2.0,,10000,0.0,0.2416,1.0,0.9950458054617761,0.7578
10,2,0.3,cap=2,0.0,2,10000,0.0,0.2414,1.004954582989265,0.9987613614178351,0.7578
10,2,0.3,cap=3,0.0,3,10000,0.0,0.2414,1.0061932287365813,1.0,0.7578
10,2,0.3,cap=5,0.0,5,10000,0.0,0.2414,1.0061932287365813,1.0,0.7578
10,2,0.1,faithful,0.0,,10000,0.0,0.0081,1.0,1.0,0.9919
10,2,0.1,theta=0.5,0.5,,10000,0.0,0.0081,1.0,1.0,0.9919
10,2,0.1,theta=1.0,1.0,,10000,0.0,0.0081,1.0,1.0,0.9919
10,2,0.1,theta=1.5,1.5,,10000,0.0,0.0081,1.0,1.0,0.9919
10,2,0.1,theta=2.0,2.0,,10000,0.0,0.0081,1.0,1.0,0.9919
10,2,0.1,cap=2,0.0,2,10000,0.0,0.0081,1.0,1.0,0.9919
10,2,0.1,cap=3,0.0,3,10000,0.0,0.0081,1.0,1.0,0.9919
10,2,0.1,cap=5,0.0,5,10000,0.0,0.0081,1.0,1.0,0.9919
10,3,1.0,faithful,0.0,,10000,0.0058,0.3657,1.2635062336462983,1.0,0.3503
10,3,1.0,theta=0.5,0.5,,10000,0.0001,0.4266,1.0235493304602123,0.9233891920744645,0.3503
10,3,1.0,theta=1.0,1.0,,10000,0.0,0.4253,1.0156995536401416,0.9183584543180245,0.3503
10,3,1.0,theta=1.5,1.5,,10000,0.0,0.4261,1.0055410189318146,0.9156951219641287,0.3503
10,3,1.0,theta=2.0,2.0,,10000,0.0,0.4262,1.0027705094659074,0.9156950160143082,0.3503
10,3,1.0,cap=2,0.0,2,10000,0.0,0.3633,1.238879482838233,0.989525972987699,0.3503
10,3,1.0,cap=3,0.0,3,10000,0.0059,0.3658,1.2542712020932738,0.9978483602844136,0.3503
10,3,1.0,cap=5,0.0,5,10000,0.0058,0.3657,1.2582730490995844,0.9984608281310345,0.3503
10,3,0.3,faithful,0.0,,10000,0.0,0.5007,1.001195219123506,1.0,0.498
10,3,0.3,theta=0.5,0.5,,10000,0.0,0.501,1.0,0.9992298743497087,0.498
10,3,0.3,theta=1.0,1.0,,10000,0.0,0.501,1.0,0.9992298743497087,0.498
10,3,0.3,theta=1.5,1.5,,10000,0.0,0.501,1.0,0.9992298743497087,0.498
10,3,0.3,theta=2.0,2.0,,10000,0.0,0.501,1.0,0.9992298743497087,0.498
10,3,0.3,cap=2,0.0,2,10000,0.0,0.5007,1.001195219123506,1.0,0.498
10,3,0.3,cap=3,0.0,3,10000,0.0,0.5007,1.001195219123506,1.0,0.498
10,3,0.3,cap=5,0.0,5,10000,0.0,0.5007,1.001195219123506,1.0,0.498
10,3,0.1,faithful,0.0,,10000,0.0,0.4712,1.0,1.0,0.5288
10,3,0.1,theta=0.5,0.5,,10000,0.0,0.4712,1.0,1.0,0.5288
10,3,0.1,theta=1.0,1.0,,10000,0.0,0.4712,1.0,1.0,0.5288
10,3,0.1,theta=1.5,1.5,,10000,0.0,0.4712,1.0,1.0,0.5288
10,3,0.1,theta=2.0,2.0,,10000,0.0,0.4712,1.0,1.0,0.5288
10,3,0.1,cap=2,0.0,2,10000,0.0,0.4712,1.0,1.0,0.5288
10,3,0.1,cap=3,0.0,3,10000,0.0,0.4712,1.0,1.0,0.5288
10,3,0.1,cap=5,0.0,5,10000,0.0,0.4712,1.0,1.0,0.5288
