n,seed,T,kernel,family,gap,C_kT,C_far
8,2,1.0,shell(eps=3),oracle,0.0,0.13621914776283356,0.0489529677487554
8,2,1.0,shell(eps=4),oracle,0.0,0.09253670750529099,0.03344323202641196
8,2,0.3,uniform,naive,0.0039085676501879885,3.93144002228175e-07,2.9030362348640087e-06
8,2,0.3,single-flip,local,4.232054797381757e-06,1.5904037450450948e-09,0.0
8,2,0.3,add-delete-swap,local,0.0060135416681054155,4.491726129236009e-08,0.0
8,2,0.3,quench,quench,0.06148783210304887,3.589152821902244e-06,3.515169323191016e-05
8,2,0.3,"demon(L=4,Td=1)",local,1.8399204726460283e-05,8.676459564278733e-08,5.266476046330168e-10
8,2,0.3,"demon(L=4,Td=8)",local,6.360347627920593e-05,2.8764077911692286e-07,4.5747789851611984e-08
8,2,0.3,"dlp(t=.5,a=3)",informed,1.0044490258431793e-06,1.8691170302480795e-08,1.0126352251905442e-08
8,2,0.3,"dlp(t=.05,a=3)",informed,0.030704070787564763,1.8770062077262358e-06,4.934286948112146e-06
8,2,0.3,"dlp(t=0,a=3)",naive,0.006177276298888312,4.5310055685080204e-07,2.932402753940765e-06
8,2,0.3,"softspin(c=.1,a=30)",informed,0.022454809659175345,1.157720085266047e-06,4.53711452185902e-06
8,2,0.3,"softspin(c=1,a=30)",informed,0.00013987659750747117,1.416718277040026e-07,1.3506819153674258e-07
8,2,0.3,shell(eps=2),oracle,0.0,1.4077311802886578e-05,0.00015899536303635073
8,2,0.3,shell(eps=3),oracle,0.0,1.0261990251127017e-05,8.729003790884106e-05
8,2,0.3,shell(eps=4),oracle,0.0,6.5353852096957446e-06,6.133788979605881e-05
8,2,0.1,uniform,naive,0.003906250000479616,8.008174541529003e-16,4.824271657303451e-13
8,2,0.1,single-flip,local,5.88418203051333e-15,1.0602460597034572e-31,0.0
8,2,0.1,add-delete-swap,local,5.25027891727925e-05,6.107138146600201e-32,0.0
8,2,0.1,quench,quench,0.06487496757752076,7.51907414569446e-15,6.721985089251679e-12
8,2,0.1,"demon(L=4,Td=1)",local,5.440092820663267e-14,1.475530860427651e-31,3.68429896707703e-27
8,2,0.1,"demon(L=4,Td=8)",local,1.0735856648125264e-11,5.498426705819368e-28,3.0424111522040353e-21
8,2,0.1,"dlp(t=.5,a=3)",informed,1.5543122344752192e-15,7.655516572497707e-25,1.086545226423441e-24
8,2,0.1,"dlp(t=.05,a=3)",informed,0.0046054283394790785,2.3831573587773862e-15,1.3445101317851292e-14
8,2,0.1,"dlp(t=0,a=3)",naive,0.006263016553237466,9.20165600084197e-16,4.69483210538281e-13
8,2,0.1,"softspin(c=.1,a=30)",informed,0.022868214296850486,2.390726400477899e-15,5.456185387253402e-13
8,2,0.1,"softspin(c=1,a=30)",informed,0.0001372917147879349,1.6280299443279141e-16,3.210741100559961e-16
8,2,0.1,shell(eps=2),oracle,0.0,2.9287020562073676e-14,3.081853475489865e-11
8,2,0.1,shell(eps=3),oracle,1.1102230246251565e-16,2.1443873197368264e-14,1.54263008289453e-11
8,2,0.1,shell(eps=4),oracle,1.5543122344752192e-15,1.3667272873168629e-14,1.1214543182698422e-11
8,3,1.0,uniform,naive,0.008208527592863835,0.01735743926441416,0.009785355689807842
8,3,1.0,single-flip,local,0.0008102124853234249,0.11136836342702093,0.0
8,3,1.0,add-delete-swap,local,0.0008119434027643591,0.07286101751973782,0.0
8,3,1.0,quench,quench,0.08006006603544036,0.22496043006063793,0.12308905302231232
8,3,1.0,"demon(L=4,Td=1)",local,0.0035946496615375523,0.16484732036709515,0.004520606249473216
8,3,1.0,"demon(L=4,Td=8)",local,0.007030154349253359,0.15793798040260318,0.011162756408040268
8,3,1.0,"dlp(t=.5,a=3)",informed,0.0010639046310042533,0.19450863586056263,0.0041600831397959285
8,3,1.0,"dlp(t=.05,a=3)",informed,0.00989379581279759,0.0403957850021267,0.012260807915455266
8,3,1.0,"dlp(t=0,a=3)",naive,0.010081585972857132,0.020590171188591234,0.009454874802795499
8,3,1.0,"softspin(c=.1,a=30)",informed,0.006426362013249531,0.059689230228393744,0.01516450098242857
8,3,1.0,"softspin(c=1,a=30)",informed,0.00019012942078033834,0.15504884062861457,0.00032693766547906385
8,3,1.0,shell(eps=2),oracle,0.05906535543463498,0.9999999999999999,0.5251719662667025
8,3,1.0,shell(eps=3),oracle,0.0888315045424184,0.574214796596427,0.30393461951066014
8,3,1.0,shell(eps=4),oracle,0.10260775691069468,0.3387907302114488,0.18146829941438503
8,3,0.3,uniform,naive,0.004437751399991474,2.4008992848226034e-06,0.00439956485008793
8,3,0.3,single-flip,local,2.7116539569327358e-08,2.5631240629865777e-06,0.0
8,3,0.3,add-delete-swap,local,2.7286744308518962e-08,1.8122619749055277e-06,0.0
8,3,0.3,quench,quench,0.06905591197628747,2.4372404887612705e-05,0.11509892584429449
8,3,0.3,"demon(L=4,Td=1)",local,1.2125787485217643e-07,6.649213340922526e-06,1.5272385427819528e-07
8,3,0.3,"demon(L=4,Td=8)",local,1.8507976414117167e-05,7.874175109098425e-06,7.727615699325466e-05
8,3,0.3,"dlp(t=.5,a=3)",informed,9.039944348643303e-10,8.259211583914258e-06,9.091123164978475e-08
8,3,0.3,"dlp(t=.05,a=3)",informed,0.0002762175167855263,1.1499731802972815e-05,0.008120410999906588
